fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,wine_type,target
10.5,0.24,0.42,1.8,0.077,6.0,22.0,0.9976,3.21,1.102028416173294,11.088542291136093,red,4
7.6,0.29,0.58,17.5,0.041,51.0,225.0,0.9997,3.16,0.6860798473211276,9.92153968034434,white,3
5.9,0.23,0.28,8.6,0.046,37.0,142.0,0.99432,3.23,0.5788918357649557,10.988384811404792,white,3
5.8,0.18,0.28,1.3,0.034,9.0,94.0,0.99092,3.21,0.5251450852722386,11.472640044666358,white,3
7.4,0.24,0.4,4.3,0.032,9.0,95.0,0.992,3.09,0.41699100324125415,11.352676077510708,white,3
6.0,0.54,0.06,1.8,0.05,38.0,89.0,0.99236,3.3,0.5554940495116077,10.862584349560308,red,3
6.4,0.39,0.33,3.3,0.046,12.0,53.0,0.99294,3.36,0.6423724263364263,12.577851014169738,red,3
6.5,0.18,0.31,1.7,0.044,30.0,127.0,0.9928,3.49,0.546236215357144,10.325511271392331,white,4
8.5,0.21,0.26,9.25,0.034,73.0,142.0,0.9945,3.05,0.39279661671306826,11.663496700170478,white,3
8.4,0.22,0.3,8.9,0.024,17.0,118.0,0.99456,2.99,0.41477510265257156,10.800529849992126,white,3
6.1,0.44,0.28,4.25,0.032,43.0,132.0,0.9916,3.26,0.5487134012949285,11.589769016002945,white,4
6.2,0.21,0.24,1.2,0.051,31.0,95.0,0.99036,3.24,0.6232106938953599,11.64875010085835,white,3
5.7,0.28,0.28,2.2,0.019,15.0,65.0,0.9902,3.06,0.5349080656153431,11.406658319121458,white,3
7.4,0.14,0.3,1.3,0.033,25.0,91.0,0.99268,3.53,0.41239122041475307,10.817523142591515,white,3
6.0,0.5,0.04,2.2,0.092,13.0,26.0,0.99647,3.46,0.5498521077408668,10.339685715106908,red,2
6.6,0.29,0.31,3.9,0.027,39.0,96.0,0.99035,3.24,0.6536610538022316,12.90127175293581,white,5
6.9,0.25,0.33,1.2,0.035,35.0,158.0,0.99082,3.02,0.6587010214576442,11.623518761060488,white,3
7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.40392401663448263,9.613329172894485,red,1
8.5,0.19,0.49,3.5,0.044,29.0,117.0,0.9938,3.14,0.5816280234430405,10.382034978174815,white,3
5.9,0.22,0.45,22.6,0.12,55.0,122.0,0.99636,3.1,0.3922059419795619,13.014546577921852,white,2
6.9,0.35,0.74,1.0,0.044,18.0,132.0,0.992,3.13,0.577042799084522,10.26034446151052,white,2
7.3,0.74,0.08,1.7,0.094,10.0,45.0,0.99576,3.24,0.5596229888305727,10.165916486117139,red,2
6.3,1.02,0.0,2.0,0.083,17.0,24.0,0.99437,3.59,0.5755750250194767,11.37799552255817,red,1
8.4,0.22,0.28,18.8,0.028,55.0,130.0,0.998,2.96,0.40452384780450046,11.876476748582892,white,2
6.4,0.14,0.31,1.2,0.034,53.0,138.0,0.99084,3.38,0.3660638895807594,11.697239425005497,white,4
6.4,0.46,0.08,4.9,0.046,34.0,144.0,0.99445,3.1,0.6373046909516009,10.13738389737231,white,2
8.0,0.61,0.38,12.1,0.301,24.0,220.0,0.9993,2.94,0.5565122000138537,9.596124073931104,white,2
5.4,0.27,0.22,4.6,0.022,29.0,107.0,0.98889,3.33,0.5430222062216467,14.048562993586781,white,3
12.2,0.34,0.5,2.4,0.066,10.0,21.0,1.0,3.12,1.2616383966408675,9.644430623042826,red,3
9.1,0.21,0.37,1.6,0.067,6.0,10.0,0.99552,3.23,0.5838958570670687,11.476226790000316,red,4
7.2,0.55,0.09,1.5,0.108,16.0,151.0,0.9938,3.07,0.645522044226729,9.579627232200695,white,1
7.7,0.43,0.28,4.5,0.046,33.0,102.0,0.9918,3.16,0.6237617100404683,12.504555738221667,white,4
6.2,0.58,0.0,1.6,0.065,8.0,18.0,0.9966,3.56,0.8873966881992366,9.605597482874032,red,2
7.7,0.26,0.34,6.4,0.05,36.0,163.0,0.9937,3.19,0.7466203354768446,11.705900025365818,white,3
7.7,0.715,0.01,2.1,0.064,31.0,43.0,0.99371,3.41,0.6286116457434823,11.904919357080589,red,3
11.6,0.42,0.53,3.3,0.105,33.0,98.0,1.001,3.2,1.001782216399627,9.451002785335872,red,2
7.5,0.34,0.24,3.85,0.031,5.0,34.0,0.99098,3.01,0.40411679703262043,12.194836705062341,white,1
6.1,0.41,0.2,12.6,0.032,54.0,136.0,0.99516,2.91,0.4774022622901585,10.842105338930228,white,3
7.0,0.56,0.13,1.6,0.077,25.0,42.0,0.99629,3.34,0.6654163953988714,9.35283043131078,red,2
7.5,0.18,0.39,1.9,0.054,23.0,91.0,0.9941,3.27,0.4916714146790197,10.756248473687283,white,3
10.0,0.31,0.47,2.6,0.085,14.0,33.0,0.99965,3.36,0.8510281681536458,10.847368568699984,red,4
7.9,0.18,0.33,1.2,0.033,20.0,72.0,0.9922,3.12,0.43556280308935874,10.813235547063641,white,4
9.0,0.6,0.29,2.0,0.069,32.0,73.0,0.99654,3.34,0.6122556720102207,10.239799791684408,red,2
11.4,0.6,0.49,2.7,0.085,10.0,41.0,0.9994,3.15,0.6625015569841229,10.797311738160266,red,3
5.9,0.25,0.19,12.4,0.047,50.0,162.0,0.9973,3.35,0.4404904822045417,9.781739095061495,white,2
7.2,0.2,0.61,16.2,0.043,14.0,103.0,0.9987,3.06,0.4380588826219648,9.542615120501546,white,3
7.1,0.755,0.15,1.8,0.107,20.0,84.0,0.99593,3.19,0.5996762813665055,9.89537028808463,red,2
6.6,0.26,0.36,1.2,0.035,43.0,126.0,0.99094,3.01,0.6915574652081923,11.681897431899053,white,3
7.1,0.18,0.39,15.25,0.047,45.0,158.0,0.99946,3.34,0.7865436780703435,9.507566898809781,white,3
6.2,0.17,0.28,4.7,0.037,39.0,133.0,0.9931,3.41,0.5118863992270736,11.191041283489682,white,4
7.3,0.29,0.37,8.3,0.044,45.0,227.0,0.9966,3.12,0.5244298951575708,9.342890524691544,white,2
7.5,0.29,0.26,14.95,0.067,47.0,178.0,0.99838,3.04,0.517524620774358,9.515463731051689,white,1
6.5,0.28,0.35,9.8,0.067,61.0,180.0,0.9972,3.15,0.6164816238950797,9.471040067952421,white,1
7.5,0.13,0.38,1.1,0.023,42.0,104.0,0.99112,3.28,0.5960623917579343,12.078667154817035,white,3
6.7,0.2,0.24,6.5,0.044,28.0,100.0,0.99348,3.12,0.36084098531298625,10.476273146308726,white,3
7.5,0.41,0.23,14.8,0.054,28.0,174.0,0.99898,3.18,0.5251788820040169,9.940558508282042,white,2
7.2,0.19,0.31,6.3,0.034,17.0,103.0,0.99305,3.15,0.5758095134287755,11.897198696715062,white,4
6.5,0.26,0.43,8.9,0.083,50.0,171.0,0.9965,2.85,0.5606279358932185,9.364559323298339,white,2
7.1,0.32,0.32,11.0,0.038,16.0,66.0,0.9937,3.24,0.4281040720218351,11.734205424281154,white,0
7.4,0.18,0.4,1.6,0.047,22.0,102.0,0.9937,3.28,0.5028802002381769,11.102036267191155,white,2
4.4,0.32,0.39,4.3,0.03,31.0,127.0,0.98904,3.46,0.4183725927332962,13.326044012682521,white,5
